"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"769","12.711314472","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"770","12.711319736","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"771","12.711325266","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"772","12.711330365","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"773","12.711334670","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"774","12.711338588","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"775","12.711343628","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"776","12.711348244","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"777","12.711353649","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"779","12.713581562","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=926229 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"780","12.713597831","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Previous segment not captured] , Continuation Data"
"781","12.713604615","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"782","12.713609844","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"783","12.713615950","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"784","12.713624637","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"785","12.713630279","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"786","12.713642645","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"787","12.713647545","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"788","12.713652548","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"790","12.716037355","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Retransmission] 443  >  58879 [ACK] Seq=958879 Ack=4856 Win=42368 Len=1306 TSval=898421549 TSecr=2942639092"
"791","12.716073945","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"792","12.716081586","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"793","12.716090308","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"794","12.716095682","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"795","12.716108786","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"796","12.716114563","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=974551 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"797","12.716120637","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=975857 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"798","12.716126460","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=977163 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"799","12.716131974","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=978469 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"800","12.716137329","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=979775 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"801","12.716142985","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=981081 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"802","12.716149784","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=982387 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"803","12.716155403","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=983693 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"804","12.716160416","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=984999 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
"805","12.716165626","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","443  >  58879 [ACK] Seq=986305 Ack=4856 Win=42368 Len=1306 TSval=898421550 TSecr=2942639097 [TCP PDU reassembled in 806]"
